date = 2024-06-30 18:50:45.450, timestamp = 345328089588449, x = 233, y = 1710
date = 2024-06-30 18:50:47.050, timestamp = 345329688976470, x = 920, y = 1240
date = 2024-06-30 18:50:48.771, timestamp = 345331410671782, x = 182, y = 2041
date = 2024-06-30 18:50:50.571, timestamp = 345333210512928, x = 168, y = 1216
date = 2024-06-30 18:50:52.342, timestamp = 345334981677511, x = 1005, y = 1095
date = 2024-06-30 18:50:54.332, timestamp = 345336971207198, x = 93, y = 828
date = 2024-06-30 18:50:56.351, timestamp = 345338990704593, x = 333, y = 140
date = 2024-06-30 18:50:58.091, timestamp = 345340730636885, x = 808, y = 1285
date = 2024-06-30 18:50:59.825, timestamp = 345342464674385, x = 341, y = 1955
date = 2024-06-30 18:51:01.678, timestamp = 345344317283759, x = 773, y = 1005
date = 2024-06-30 18:51:03.450, timestamp = 345346089375426, x = 584, y = 1781
date = 2024-06-30 18:51:05.248, timestamp = 345347887568655, x = 74, y = 1508
date = 2024-06-30 18:51:08.073, timestamp = 345350712195738, x = 85, y = 1731
date = 2024-06-30 18:51:09.961, timestamp = 345352600689487, x = 60, y = 1444
date = 2024-06-30 18:51:11.761, timestamp = 345354400845737, x = 203, y = 1933
date = 2024-06-30 18:51:13.537, timestamp = 345356176378028, x = 475, y = 927
date = 2024-06-30 18:51:15.386, timestamp = 345358025176986, x = 850, y = 1507
date = 2024-06-30 18:51:17.365, timestamp = 345360004063444, x = 79, y = 68
date = 2024-06-30 18:51:19.084, timestamp = 345361723869694, x = 453, y = 299
date = 2024-06-30 18:51:20.901, timestamp = 345363540936881, x = 275, y = 1478
date = 2024-06-30 18:51:22.552, timestamp = 345365191666048, x = 722, y = 1389
date = 2024-06-30 18:51:24.490, timestamp = 345367129530631, x = 950, y = 38
date = 2024-06-30 18:51:26.307, timestamp = 345368946296776, x = 616, y = 1340
date = 2024-06-30 18:51:28.035, timestamp = 345370674237922, x = 487, y = 1023
date = 2024-06-30 18:51:30.041, timestamp = 345372680527505, x = 166, y = 111
date = 2024-06-30 18:51:31.732, timestamp = 345374371096776, x = 550, y = 1067
date = 2024-06-30 18:51:33.464, timestamp = 345376103876984, x = 531, y = 1232
date = 2024-06-30 18:51:35.303, timestamp = 345377942435317, x = 937, y = 594
